EntryTime,ExitTime,Type,Regime,SignalLeg,CE_Entry,PE_Entry,CE_Exit,PE_Exit,Qty,Reason,PnL
11 Aug 09:20,11 Aug 09:21,buy,VOLATILE,,254.6,192.35,258.15,189.2,195,Smart Exit (Regime Shift),77.99999999999557
11 Aug 09:37,11 Aug 10:01,buy,DIRECTIONAL,PE,247.7,200.85,242.8,194.25,520,Smart Exit (Regime Shift),-3431.9999999999973
11 Aug 11:09,11 Aug 11:22,buy,DIRECTIONAL,PE,250.45,187.85,254.5,184.75,585,Smart Exit (Regime Shift),-1813.4999999999966
11 Aug 11:27,11 Aug 11:35,buy,DIRECTIONAL,PE,252.55,186.55,251.9,188.05,585,Smart Exit (Regime Shift),877.5
11 Aug 12:49,11 Aug 12:56,buy,DIRECTIONAL,PE,258.9,174.85,252.2,180.0,585,Smart Exit (Regime Shift),3012.750000000003
11 Aug 13:07,11 Aug 13:16,buy,DIRECTIONAL,PE,259.6,171.1,254.25,176.5,650,Smart Exit (Regime Shift),3510.0000000000036
11 Aug 14:58,11 Aug 15:09,buy,DIRECTIONAL,PE,258.25,165.05,259.35,165.15,715,Smart Exit (Regime Shift),71.49999999999594
12 Aug 09:20,12 Aug 09:23,buy,VOLATILE,,257.85,157.4,255.9,158.9,260,Smart Exit (Regime Shift),-117.00000000000443
12 Aug 09:53,12 Aug 10:26,buy,DIRECTIONAL,CE,247.65,160.9,226.35,176.8,455,Smart Exit (Regime Shift),-9691.500000000005
12 Aug 10:48,12 Aug 11:46,buy,DIRECTIONAL,CE,246.5,163.35,220.9,185.6,390,Smart Exit (Regime Shift),-9983.999999999998
12 Aug 11:59,12 Aug 12:18,buy,DIRECTIONAL,CE,243.8,170.85,245.4,170.95,390,Smart Exit (Regime Shift),623.9999999999977
12 Aug 14:31,12 Aug 15:15,buy,DIRECTIONAL,CE,256.6,147.85,287.9,122.65,390,EOD Exit,12206.999999999982
13 Aug 10:32,13 Aug 10:36,buy,DIRECTIONAL,PE,241.05,140.55,240.7,140.1,780,Smart Exit (Regime Shift),-351.0000000000133
13 Aug 11:07,13 Aug 11:22,buy,DIRECTIONAL,PE,238.5,138.75,242.6,132.8,780,Smart Exit (Regime Shift),-4640.999999999991
13 Aug 11:31,13 Aug 12:03,buy,DIRECTIONAL,PE,219.5,146.25,270.6,116.8,715,Trailing Stop Hit,-21056.750000000004
13 Aug 12:04,13 Aug 12:29,buy,DIRECTIONAL,PE,234.0,137.65,223.0,142.5,585,Smart Exit (Regime Shift),2837.249999999997
13 Aug 12:52,13 Aug 13:21,buy,DIRECTIONAL,PE,243.8,129.7,242.05,128.35,650,Smart Exit (Regime Shift),-877.4999999999964
13 Aug 13:57,13 Aug 14:00,buy,DIRECTIONAL,PE,227.35,134.05,222.35,136.3,650,Smart Exit (Regime Shift),1462.5
13 Aug 14:17,13 Aug 14:20,buy,DIRECTIONAL,PE,240.0,126.35,246.7,121.9,715,Smart Exit (Regime Shift),-3181.749999999992
13 Aug 14:49,13 Aug 15:13,buy,DIRECTIONAL,PE,245.8,126.0,243.7,124.85,650,Smart Exit (Regime Shift),-747.5000000000036
14 Aug 09:20,14 Aug 09:21,buy,VOLATILE,,220.05,134.85,222.35,131.95,195,Smart Exit (Regime Shift),-117.00000000000443
14 Aug 10:32,14 Aug 10:46,buy,DIRECTIONAL,CE,209.45,130.95,215.9,124.35,390,Smart Exit (Regime Shift),2515.500000000007
14 Aug 12:14,14 Aug 12:41,buy,DIRECTIONAL,CE,190.35,140.45,187.45,144.0,455,Smart Exit (Regime Shift),-1319.5000000000025
14 Aug 12:54,14 Aug 13:01,buy,DIRECTIONAL,CE,194.5,135.0,193.15,136.15,455,Smart Exit (Regime Shift),-614.2499999999974
14 Aug 13:44,14 Aug 14:18,buy,DIRECTIONAL,CE,201.7,128.55,216.85,118.0,390,Smart Exit (Regime Shift),5908.500000000002
14 Aug 14:22,14 Aug 15:02,buy,DIRECTIONAL,CE,216.45,119.1,222.85,112.85,390,Smart Exit (Regime Shift),2496.0000000000023
17 Aug 09:20,17 Aug 09:22,buy,VOLATILE,,177.55,126.1,172.5,129.4,260,Smart Exit (Regime Shift),-455.0
17 Aug 09:31,17 Aug 09:49,buy,DIRECTIONAL,PE,167.2,129.8,169.05,125.65,715,Smart Exit (Regime Shift),-2967.250000000004
17 Aug 10:14,17 Aug 11:09,buy,DIRECTIONAL,PE,160.75,133.8,147.6,152.85,650,Smart Exit (Regime Shift),12382.499999999989
17 Aug 11:52,17 Aug 12:10,buy,DIRECTIONAL,PE,188.0,112.6,184.8,116.1,910,Smart Exit (Regime Shift),3185.0
17 Aug 12:20,17 Aug 12:59,buy,DIRECTIONAL,PE,163.55,126.55,203.4,101.3,845,Trailing Stop Hit,-21336.25
17 Aug 13:00,17 Aug 13:41,buy,DIRECTIONAL,PE,177.4,118.95,187.75,112.0,715,Smart Exit (Regime Shift),-4969.250000000002
17 Aug 13:42,17 Aug 13:50,buy,DIRECTIONAL,PE,188.75,111.95,180.0,116.2,715,Smart Exit (Regime Shift),3038.75
18 Aug 09:31,18 Aug 10:07,buy,DIRECTIONAL,PE,168.75,106.1,161.9,110.25,780,Smart Exit (Regime Shift),3237.0000000000045
18 Aug 10:17,18 Aug 10:25,buy,DIRECTIONAL,PE,155.3,117.0,157.4,113.8,715,Smart Exit (Regime Shift),-2288.000000000002
18 Aug 10:46,18 Aug 11:09,buy,DIRECTIONAL,PE,153.05,116.55,156.05,115.0,715,Smart Exit (Regime Shift),-1108.249999999998
18 Aug 11:31,18 Aug 11:32,buy,DIRECTIONAL,PE,147.75,129.0,151.2,126.45,650,Smart Exit (Regime Shift),-1657.4999999999982
18 Aug 11:53,18 Aug 11:55,buy,DIRECTIONAL,PE,156.45,116.65,153.1,120.9,715,Smart Exit (Regime Shift),3038.75
18 Aug 12:07,18 Aug 12:15,buy,DIRECTIONAL,PE,161.1,110.6,156.55,114.6,780,Smart Exit (Regime Shift),3120.0
18 Aug 12:47,18 Aug 12:50,buy,DIRECTIONAL,PE,153.9,118.45,157.1,114.7,715,Smart Exit (Regime Shift),-2681.25
18 Aug 13:05,18 Aug 13:08,buy,DIRECTIONAL,PE,149.0,122.45,154.15,116.7,650,Smart Exit (Regime Shift),-3737.5
18 Aug 14:57,18 Aug 15:11,buy,DIRECTIONAL,PE,155.95,109.3,154.05,107.6,715,Smart Exit (Regime Shift),-1215.500000000002
19 Aug 09:20,19 Aug 09:21,buy,VOLATILE,,152.0,105.6,156.95,101.9,260,Smart Exit (Regime Shift),325.0
19 Aug 09:31,19 Aug 10:01,buy,DIRECTIONAL,PE,141.0,113.6,144.6,106.15,715,Smart Exit (Regime Shift),-5326.749999999992
19 Aug 10:24,19 Aug 11:24,buy,DIRECTIONAL,PE,159.75,92.4,155.0,96.8,845,Smart Exit (Regime Shift),3717.9999999999927
19 Aug 11:52,19 Aug 12:17,buy,DIRECTIONAL,PE,167.0,85.25,153.0,95.0,910,Smart Exit (Regime Shift),8872.5
19 Aug 13:30,19 Aug 13:37,buy,DIRECTIONAL,PE,151.95,95.4,150.6,95.9,910,Smart Exit (Regime Shift),455.0
19 Aug 14:23,19 Aug 14:35,buy,DIRECTIONAL,PE,143.8,98.6,179.7,72.95,910,Trailing Stop Hit,-23341.499999999993
19 Aug 14:36,19 Aug 14:41,buy,DIRECTIONAL,PE,169.25,78.8,149.0,93.2,845,Smart Exit (Regime Shift),12168.000000000005
20 Aug 09:20,20 Aug 09:22,buy,VOLATILE,,126.65,79.5,130.75,77.7,325,Smart Exit (Regime Shift),747.4999999999991
20 Aug 09:34,20 Aug 10:27,buy,DIRECTIONAL,CE,131.8,75.9,136.55,67.4,585,Smart Exit (Regime Shift),2778.75
20 Aug 11:22,20 Aug 12:06,buy,DIRECTIONAL,CE,127.0,71.2,142.8,60.25,650,Smart Exit (Regime Shift),10270.000000000007
20 Aug 12:48,20 Aug 13:07,buy,DIRECTIONAL,CE,144.0,63.9,143.05,65.2,585,Smart Exit (Regime Shift),-555.7499999999934
20 Aug 14:04,20 Aug 14:08,buy,DIRECTIONAL,CE,129.8,67.55,131.65,66.9,650,Smart Exit (Regime Shift),1202.4999999999964
20 Aug 15:10,20 Aug 15:15,buy,DIRECTIONAL,CE,152.45,56.5,156.3,54.05,585,EOD Exit,2252.250000000013
21 Aug 09:20,21 Aug 09:22,buy,VOLATILE,,132.5,56.9,131.1,58.5,455,Smart Exit (Regime Shift),90.99999999999807
21 Aug 09:32,21 Aug 09:34,buy,DIRECTIONAL,PE,126.6,61.3,123.95,63.4,1495,Smart Exit (Regime Shift),3139.5000000000023
21 Aug 09:44,21 Aug 10:08,buy,DIRECTIONAL,PE,105.25,70.1,100.7,72.15,1365,Smart Exit (Regime Shift),2798.2500000000155
21 Aug 10:31,21 Aug 10:39,buy,DIRECTIONAL,PE,112.75,62.55,108.95,64.7,1560,Smart Exit (Regime Shift),3354.000000000009
21 Aug 10:42,21 Aug 11:04,buy,DIRECTIONAL,PE,113.3,62.0,115.95,59.6,1625,Smart Exit (Regime Shift),-3899.9999999999977
21 Aug 12:04,21 Aug 12:25,buy,DIRECTIONAL,PE,103.5,64.95,103.5,64.9,1495,Smart Exit (Regime Shift),-74.74999999999575
21 Aug 13:07,21 Aug 13:24,buy,DIRECTIONAL,PE,107.9,59.4,100.2,64.35,1625,Smart Exit (Regime Shift),8043.749999999993
