Time,Message,PnL
04 Aug 12:51,Regime shifted to SIDEWAYS,
04 Aug 12:51,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),14839.500000000004
04 Aug 13:10,Regime shifted to DIRECTIONAL,
04 Aug 13:10,Entered DIRECTIONAL (buy PE) - Capital Used: ₹94770.00,
04 Aug 13:11,Trailing Stop raised to 19.44% (High PnL: 0.56%),
04 Aug 13:13,Trailing Stop raised to 18.77% (High PnL: 1.23%),
04 Aug 13:14,Trailing Stop raised to 18.40% (High PnL: 1.60%),
04 Aug 13:15,Trailing Stop raised to 17.55% (High PnL: 2.45%),
04 Aug 13:26,Regime shifted to SIDEWAYS,
04 Aug 13:26,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),253.50000000000222
04 Aug 13:30,Regime shifted to DIRECTIONAL,
04 Aug 13:30,Entered DIRECTIONAL (buy PE) - Capital Used: ₹88159.50,
04 Aug 13:31,Trailing Stop raised to 19.29% (High PnL: 0.71%),
04 Aug 13:32,Trailing Stop raised to 18.69% (High PnL: 1.31%),
04 Aug 13:34,Trailing Stop raised to 18.65% (High PnL: 1.35%),
04 Aug 13:35,Trailing Stop raised to 18.25% (High PnL: 1.75%),
04 Aug 13:44,Trailing Stop raised to 16.70% (High PnL: 3.30%),
04 Aug 13:53,Trailing Stop raised to 15.11% (High PnL: 4.89%),
04 Aug 13:55,Trailing Stop raised to 15.05% (High PnL: 4.95%),
04 Aug 13:56,Trailing Stop raised to 13.83% (High PnL: 6.17%),
04 Aug 13:57,Trailing Stop raised to 12.46% (High PnL: 7.54%),
04 Aug 14:13,Regime shifted to SIDEWAYS,
04 Aug 14:13,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-1111.5000000000089
04 Aug 14:20,Regime shifted to DIRECTIONAL,
04 Aug 14:20,Entered DIRECTIONAL (buy PE) - Capital Used: ₹89856.00,
04 Aug 14:21,Trailing Stop raised to 15.20% (High PnL: 4.80%),
04 Aug 14:23,Regime shifted to SIDEWAYS,
04 Aug 14:23,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),5050.499999999995
04 Aug 15:28,Regime shifted to VOLATILE,
05 Aug 09:20,Regime shifted to DIRECTIONAL,
05 Aug 09:52,Entered DIRECTIONAL (buy PE) - Capital Used: ₹102908.00,
05 Aug 09:53,Trailing Stop raised to 19.19% (High PnL: 0.81%),
05 Aug 09:54,Trailing Stop raised to 16.99% (High PnL: 3.01%),
05 Aug 09:55,Trailing Stop raised to 14.69% (High PnL: 5.31%),
05 Aug 09:56,Trailing Stop raised to 14.26% (High PnL: 5.74%),
05 Aug 10:05,Regime shifted to SIDEWAYS,
05 Aug 10:05,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),1118.000000000003
05 Aug 10:34,Regime shifted to DIRECTIONAL,
05 Aug 10:34,Entered DIRECTIONAL (buy PE) - Capital Used: ₹98166.25,
05 Aug 10:35,Trailing Stop raised to 19.56% (High PnL: 0.44%),
05 Aug 10:37,Regime shifted to SIDEWAYS,
05 Aug 10:37,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),1979.2499999999975
05 Aug 10:56,Regime shifted to DIRECTIONAL,
05 Aug 10:56,Entered DIRECTIONAL (buy PE) - Capital Used: ₹96141.50,
05 Aug 10:57,Trailing Stop raised to 20.00% (High PnL: 0.00%),
05 Aug 11:09,Trailing Stop raised to 18.25% (High PnL: 1.75%),
05 Aug 11:10,Trailing Stop raised to 17.94% (High PnL: 2.06%),
05 Aug 11:18,Regime shifted to SIDEWAYS,
05 Aug 11:18,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),2593.499999999995
05 Aug 11:34,Regime shifted to DIRECTIONAL,
05 Aug 11:34,Entered DIRECTIONAL (buy PE) - Capital Used: ₹98348.25,
05 Aug 11:35,Trailing Stop raised to 18.80% (High PnL: 1.20%),
05 Aug 11:49,Trailing Stop raised to 18.22% (High PnL: 1.78%),
05 Aug 11:50,Trailing Stop raised to 16.60% (High PnL: 3.40%),
05 Aug 11:51,Trailing Stop raised to 14.45% (High PnL: 5.55%),
05 Aug 11:55,Trailing Stop raised to 13.92% (High PnL: 6.08%),
05 Aug 11:56,Trailing Stop raised to 12.74% (High PnL: 7.26%),
05 Aug 11:57,Trailing Stop raised to 11.81% (High PnL: 8.19%),
05 Aug 12:27,Regime shifted to SIDEWAYS,
05 Aug 12:27,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),6301.749999999997
05 Aug 12:31,Regime shifted to DIRECTIONAL,
05 Aug 12:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹113854.00,
05 Aug 12:32,Trailing Stop raised to 19.47% (High PnL: 0.53%),
05 Aug 12:33,Trailing Stop raised to 19.45% (High PnL: 0.55%),
05 Aug 12:34,Trailing Stop raised to 16.67% (High PnL: 3.33%),
05 Aug 12:35,Trailing Stop raised to 14.91% (High PnL: 5.09%),
05 Aug 12:37,Trailing Stop raised to 14.75% (High PnL: 5.25%),
05 Aug 12:42,Trailing Stop raised to 12.67% (High PnL: 7.33%),
05 Aug 12:43,Trailing Stop raised to 12.60% (High PnL: 7.40%),
05 Aug 12:48,Trailing Stop raised to 11.62% (High PnL: 8.38%),
05 Aug 12:50,Trailing Stop raised to 10.32% (High PnL: 9.68%),
05 Aug 12:58,Trailing Stop raised to 9.63% (High PnL: 10.37%),
05 Aug 12:59,Trailing Stop raised to 8.56% (High PnL: 11.44%),
05 Aug 13:00,Trailing Stop raised to 8.54% (High PnL: 11.46%),
05 Aug 13:05,Trailing Stop raised to 6.85% (High PnL: 13.15%),
05 Aug 13:12,Regime shifted to SIDEWAYS,
05 Aug 13:12,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),10634.00000000001
05 Aug 15:19,Regime shifted to DIRECTIONAL,
06 Aug 09:16,Regime shifted to VOLATILE,
06 Aug 09:20,Regime shifted to DIRECTIONAL,
06 Aug 09:32,Entered DIRECTIONAL (buy PE) - Capital Used: ₹124722.00,
06 Aug 09:33,Trailing Stop raised to 20.00% (High PnL: 0.00%),
06 Aug 09:34,Trailing Stop raised to 19.44% (High PnL: 0.56%),
06 Aug 09:35,Regime shifted to SIDEWAYS,
06 Aug 09:35,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-2456.999999999993
06 Aug 09:52,Regime shifted to DIRECTIONAL,
06 Aug 09:52,Entered DIRECTIONAL (buy PE) - Capital Used: ₹119691.00,
06 Aug 09:53,Trailing Stop raised to 20.00% (High PnL: 0.00%),
06 Aug 09:55,Regime shifted to SIDEWAYS,
06 Aug 09:55,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),1053.0000000000066
06 Aug 10:02,Regime shifted to DIRECTIONAL,
06 Aug 10:02,Entered DIRECTIONAL (buy PE) - Capital Used: ₹117117.00,
06 Aug 10:03,Trailing Stop raised to 18.15% (High PnL: 1.85%),
06 Aug 10:05,Trailing Stop raised to 17.80% (High PnL: 2.20%),
06 Aug 10:15,Regime shifted to SIDEWAYS,
