Time,Message,PnL
21 Aug 12:25,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-169162.4999999984
21 Aug 12:26,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹36530000.00,
21 Aug 13:07,Regime shifted to DIRECTIONAL,
21 Aug 13:07,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),23744.49999999995
21 Aug 13:08,Entered DIRECTIONAL (buy PE) - Capital Used: ₹39403971.75,
21 Aug 13:09,Trailing Stop moved to 3.53% (High PnL: 1.47%),
21 Aug 13:10,Trailing Stop moved to 2.15% (High PnL: 2.85%),
21 Aug 13:13,Trailing Stop moved to 1.98% (High PnL: 3.02%),
21 Aug 13:14,Trailing Stop moved to 1.03% (High PnL: 3.97%),
21 Aug 13:15,Trailing Stop moved to -0.69% (High PnL: 5.69%),
21 Aug 13:16,Trailing Stop moved to -1.47% (High PnL: 6.47%),
21 Aug 13:20,Trailing Stop moved to -1.90% (High PnL: 6.90%),
21 Aug 13:21,Trailing Stop moved to -5.01% (High PnL: 10.01%),
21 Aug 13:22,Trailing Stop moved to -7.86% (High PnL: 12.86%),
21 Aug 13:24,Regime shifted to SIDEWAYS,
21 Aug 13:24,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),4351775.999999994
21 Aug 13:25,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹43290000.00,
21 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,11904.750000000246
