Time,Message,PnL
18 Aug 11:31,Regime shifted to DIRECTIONAL,
18 Aug 11:31,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),-10373.99999999998
18 Aug 11:32,Regime shifted to SIDEWAYS,
18 Aug 11:32,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹4030000.00,
18 Aug 11:53,Regime shifted to DIRECTIONAL,
18 Aug 11:53,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),9168.249999999995
18 Aug 11:54,Entered DIRECTIONAL (buy PE) - Capital Used: ₹4619745.00,
18 Aug 11:55,Regime shifted to SIDEWAYS,
18 Aug 11:55,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),63921.00000000022
18 Aug 11:56,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹4550000.00,
18 Aug 12:07,Regime shifted to DIRECTIONAL,
18 Aug 12:07,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),5232.500000000058
18 Aug 12:08,Entered DIRECTIONAL (buy PE) - Capital Used: ₹5238077.00,
18 Aug 12:09,Trailing Stop moved to 5.00% (High PnL: 0.00%),
18 Aug 12:12,Trailing Stop moved to 4.07% (High PnL: 0.93%),
18 Aug 12:13,Trailing Stop moved to 3.58% (High PnL: 1.42%),
18 Aug 12:15,Regime shifted to SIDEWAYS,
18 Aug 12:15,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),95406.99999999987
18 Aug 12:16,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹5330000.00,
18 Aug 12:47,Regime shifted to DIRECTIONAL,
18 Aug 12:47,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),-3464.4999999999923
18 Aug 12:48,Entered DIRECTIONAL (buy PE) - Capital Used: ₹5972512.00,
18 Aug 12:49,Trailing Stop moved to 5.00% (High PnL: 0.00%),
18 Aug 12:50,Regime shifted to SIDEWAYS,
18 Aug 12:50,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-127400.0
18 Aug 12:51,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹5850000.00,
18 Aug 13:05,Regime shifted to DIRECTIONAL,
18 Aug 13:05,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),1901.249999999975
18 Aug 13:06,Entered DIRECTIONAL (buy PE) - Capital Used: ₹6576326.25,
18 Aug 13:07,Trailing Stop moved to 5.00% (High PnL: 0.00%),
18 Aug 13:08,Regime shifted to SIDEWAYS,
18 Aug 13:08,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-272775.7499999998
18 Aug 13:09,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹6240000.00,
18 Aug 14:57,Regime shifted to DIRECTIONAL,
18 Aug 14:57,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),13884.00000000001
18 Aug 14:58,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7103177.25,
18 Aug 14:59,Trailing Stop moved to 5.00% (High PnL: 0.00%),
18 Aug 15:00,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-548632.5
18 Aug 15:01,Entered DIRECTIONAL (buy PE) - Capital Used: ₹6611296.25,
18 Aug 15:02,Trailing Stop moved to 3.62% (High PnL: 1.38%),
18 Aug 15:03,Trailing Stop moved to 0.94% (High PnL: 4.06%),
18 Aug 15:04,Trailing Stop moved to -0.25% (High PnL: 5.25%),
18 Aug 15:11,Regime shifted to SIDEWAYS,
18 Aug 15:11,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),179877.74999999965
18 Aug 15:14,Regime shifted to DIRECTIONAL,
19 Aug 09:15,Regime shifted to VOLATILE,
19 Aug 09:20,Entered VOLATILE (sell Straddle) - Capital Used: ₹6760000.00,
19 Aug 09:21,Regime shifted to DIRECTIONAL,
19 Aug 09:21,Closed VOLATILE (sell Straddle) due to Smart Exit (Regime Shift),-4225.0
19 Aug 09:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7546448.00,
19 Aug 09:32,Trailing Stop moved to 5.00% (High PnL: 0.00%),
19 Aug 09:33,Trailing Stop moved to 2.54% (High PnL: 2.46%),
19 Aug 09:35,Trailing Stop moved to 2.18% (High PnL: 2.82%),
19 Aug 09:36,Trailing Stop moved to 1.65% (High PnL: 3.35%),
19 Aug 09:37,Trailing Stop moved to 0.47% (High PnL: 4.53%),
19 Aug 09:39,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-63108.49999999924
19 Aug 09:40,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7492982.25,
